% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
42 +3.763763909e+01 +3.763763909e+01 +1.037637639e+03 +1.037637639e+03 -4.7407e-01 -2.9816e+00
% function evaluation | noise-free fitness - Fopt (3.261100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.396473999e+07 +4.396473999e+07 +4.396506610e+07 +4.396506610e+07 -6.8331e-01 -4.5878e+00
2 +6.949656504e+06 +6.949656504e+06 +6.949982614e+06 +6.949982614e+06 -1.0753e+00 +4.9452e+00
3 +4.902793585e+05 +4.902793585e+05 +4.906054685e+05 +4.906054685e+05 -2.9249e+00 +1.6814e+00
4 +2.638088520e+05 +2.638088520e+05 +2.641349620e+05 +2.641349620e+05 -1.2617e+00 +2.9504e+00
13 +5.876101888e+04 +5.876101888e+04 +5.908712888e+04 +5.908712888e+04 +4.8914e+00 +2.2011e+00
39 +3.395669630e+04 +3.395669630e+04 +3.428280630e+04 +3.428280630e+04 +3.9011e-01 +2.6265e+00
% function evaluation | noise-free fitness - Fopt (-4.682000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.455663558e+06 +3.455663558e+06 +3.455616738e+06 +3.455616738e+06 -3.9125e-01 -1.2692e+00
5 +5.937057754e+05 +5.937057754e+05 +5.936589554e+05 +5.936589554e+05 -2.0400e+00 -3.2304e-01
13 +1.339310906e+05 +1.339310906e+05 +1.338842706e+05 +1.338842706e+05 -3.8963e+00 +8.8196e-01
17 +3.711855949e+04 +3.711855949e+04 +3.707173949e+04 +3.707173949e+04 -1.1023e+00 +3.1705e-01
% function evaluation | noise-free fitness - Fopt (-5.563000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.100947509e+07 +1.100947509e+07 +1.100941946e+07 +1.100941946e+07 -4.8579e+00 +3.8324e+00
2 +3.319218693e+06 +3.319218693e+06 +3.319163063e+06 +3.319163063e+06 -3.1129e+00 -1.3002e+00
7 +2.207581855e+05 +2.207581855e+05 +2.207025555e+05 +2.207025555e+05 -2.0351e+00 -4.3454e-02
14 +7.057681075e+02 +7.057681075e+02 +6.501381075e+02 +6.501381075e+02 +1.4180e+00 +3.9592e-01
15 +4.784469660e+02 +4.784469660e+02 +4.228169660e+02 +4.228169660e+02 -2.0756e+00 +4.0072e-01
% function evaluation | noise-free fitness - Fopt (3.460000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.052557267e+05 +5.052557267e+05 +5.052903267e+05 +5.052903267e+05 +4.1903e+00 +2.1968e+00
15 +5.783358123e+03 +5.783358123e+03 +5.817958123e+03 +5.817958123e+03 +3.4890e+00 +1.3734e+00
